evaluator: suite suites/openings_v1.npz (516 openings), anchors ['v2b_net_0150', 'deep8_c1_300_e2_net_0300', 'deep8_c1_300_net_0300'], 64 sims, endgame set suites/endgame_v2_dev.npz, device NVIDIA GeForce RTX 3060
net_0010: vs v2b_net_0150 24.7 [22.4, 27.0]  vs deep8_c1_300_e2_net_0300 8.1 [6.6, 9.7]  vs deep8_c1_300_net_0300 10.8 [9.2, 12.7]  endgame WDL 63.4 regret 0.121  (358s; 0 pending)
net_0020: vs v2b_net_0150 46.7 [43.9, 49.4]  vs deep8_c1_300_e2_net_0300 13.7 [11.9, 15.6]  vs deep8_c1_300_net_0300 18.7 [16.6, 20.8]  endgame WDL 73.2 regret 0.081  (348s; 0 pending)
net_0030: vs v2b_net_0150 52.0 [49.0, 54.9]  vs deep8_c1_300_e2_net_0300 14.1 [12.2, 16.1]  vs deep8_c1_300_net_0300 23.5 [21.2, 25.8]  endgame WDL 76.3 regret 0.077  (341s; 0 pending)
net_0040: vs v2b_net_0150 56.6 [53.9, 59.1]  vs deep8_c1_300_e2_net_0300 18.0 [15.9, 20.2]  vs deep8_c1_300_net_0300 23.5 [21.3, 25.8]  endgame WDL 76.2 regret 0.071  (344s; 0 pending)
net_0050: vs v2b_net_0150 67.0 [64.4, 69.4]  vs deep8_c1_300_e2_net_0300 20.6 [18.5, 22.9]  vs deep8_c1_300_net_0300 32.9 [30.4, 35.4]  endgame WDL 80.2 regret 0.063  (349s; 0 pending)
net_0060: vs v2b_net_0150 68.7 [66.1, 71.1]  vs deep8_c1_300_e2_net_0300 24.8 [22.6, 27.0]  vs deep8_c1_300_net_0300 38.8 [36.2, 41.6]  endgame WDL 81.3 regret 0.056  (355s; 0 pending)
net_0070: vs v2b_net_0150 75.4 [72.8, 77.9]  vs deep8_c1_300_e2_net_0300 31.4 [29.2, 33.9]  vs deep8_c1_300_net_0300 40.9 [38.5, 43.5]  endgame WDL 81.5 regret 0.051  (345s; 0 pending)
net_0080: vs v2b_net_0150 72.5 [70.0, 75.1]  vs deep8_c1_300_e2_net_0300 31.1 [28.6, 33.5]  vs deep8_c1_300_net_0300 43.5 [40.9, 46.1]  endgame WDL 81.3 regret 0.049  (346s; 0 pending)
net_0090: vs v2b_net_0150 73.4 [71.1, 75.8]  vs deep8_c1_300_e2_net_0300 31.7 [29.1, 34.2]  vs deep8_c1_300_net_0300 47.4 [44.8, 50.0]  endgame WDL 80.6 regret 0.051  (354s; 0 pending)
net_0100: vs v2b_net_0150 75.0 [72.6, 77.3]  vs deep8_c1_300_e2_net_0300 30.2 [27.7, 32.9]  vs deep8_c1_300_net_0300 48.5 [45.7, 51.2]  endgame WDL 82.2 regret 0.045  (354s; 0 pending)
net_0110: vs v2b_net_0150 75.8 [73.4, 78.0]  vs deep8_c1_300_e2_net_0300 34.3 [31.9, 36.9]  vs deep8_c1_300_net_0300 49.6 [46.8, 52.3]  endgame WDL 82.3 regret 0.043  (349s; 0 pending)
net_0120: vs v2b_net_0150 78.1 [75.7, 80.4]  vs deep8_c1_300_e2_net_0300 37.4 [34.8, 40.1]  vs deep8_c1_300_net_0300 49.8 [47.2, 52.4]  endgame WDL 82.7 regret 0.047  (343s; 0 pending)
net_0130: vs v2b_net_0150 75.9 [73.5, 78.2]  vs deep8_c1_300_e2_net_0300 33.7 [31.2, 36.3]  vs deep8_c1_300_net_0300 48.7 [46.0, 51.3]  endgame WDL 83.3 regret 0.041  (347s; 0 pending)
net_0140: vs v2b_net_0150 79.5 [77.3, 81.6]  vs deep8_c1_300_e2_net_0300 36.2 [33.9, 38.7]  vs deep8_c1_300_net_0300 50.8 [48.2, 53.5]  endgame WDL 84.6 regret 0.038  (349s; 0 pending)
net_0150: vs v2b_net_0150 79.1 [77.0, 81.2]  vs deep8_c1_300_e2_net_0300 38.9 [36.1, 41.7]  vs deep8_c1_300_net_0300 56.1 [53.7, 58.8]  endgame WDL 81.1 regret 0.046  (351s; 0 pending)
net_0160: vs v2b_net_0150 81.3 [79.1, 83.6]  vs deep8_c1_300_e2_net_0300 42.6 [40.0, 45.2]  vs deep8_c1_300_net_0300 53.6 [51.1, 56.2]  endgame WDL 84.2 regret 0.040  (350s; 0 pending)
net_0170: vs v2b_net_0150 82.5 [80.5, 84.5]  vs deep8_c1_300_e2_net_0300 42.5 [40.0, 45.1]  vs deep8_c1_300_net_0300 57.9 [55.1, 60.5]  endgame WDL 85.1 regret 0.041  (347s; 0 pending)
net_0180: vs v2b_net_0150 80.3 [78.0, 82.5]  vs deep8_c1_300_e2_net_0300 43.2 [40.5, 45.8]  vs deep8_c1_300_net_0300 59.1 [56.4, 61.9]  endgame WDL 83.9 regret 0.035  (349s; 0 pending)
net_0190: vs v2b_net_0150 80.5 [78.3, 82.6]  vs deep8_c1_300_e2_net_0300 41.5 [38.9, 44.0]  vs deep8_c1_300_net_0300 54.6 [52.1, 57.2]  endgame WDL 83.9 regret 0.041  (355s; 0 pending)
net_0200: vs v2b_net_0150 80.5 [78.3, 82.7]  vs deep8_c1_300_e2_net_0300 47.3 [44.8, 49.8]  vs deep8_c1_300_net_0300 60.7 [57.9, 63.4]  endgame WDL 86.2 regret 0.037  (353s; 0 pending)
net_0210: vs v2b_net_0150 86.1 [84.2, 87.8]  vs deep8_c1_300_e2_net_0300 52.7 [50.0, 55.4]  vs deep8_c1_300_net_0300 69.2 [66.8, 71.5]  endgame WDL 88.3 regret 0.028  (355s; 0 pending)
net_0220: vs v2b_net_0150 87.3 [85.5, 89.1]  vs deep8_c1_300_e2_net_0300 56.2 [53.5, 58.7]  vs deep8_c1_300_net_0300 68.8 [66.3, 71.2]  endgame WDL 88.8 regret 0.028  (348s; 0 pending)
net_0230: vs v2b_net_0150 88.1 [86.6, 89.8]  vs deep8_c1_300_e2_net_0300 57.1 [54.6, 59.8]  vs deep8_c1_300_net_0300 70.4 [68.0, 72.6]  endgame WDL 88.8 regret 0.030  (350s; 0 pending)
net_0240: vs v2b_net_0150 88.2 [86.4, 89.9]  vs deep8_c1_300_e2_net_0300 59.1 [56.6, 61.5]  vs deep8_c1_300_net_0300 68.5 [66.0, 70.8]  endgame WDL 89.1 regret 0.030  (350s; 0 pending)
net_0250: vs v2b_net_0150 88.9 [87.3, 90.7]  vs deep8_c1_300_e2_net_0300 54.9 [52.3, 57.5]  vs deep8_c1_300_net_0300 70.4 [67.9, 72.9]  endgame WDL 88.5 regret 0.030  (359s; 0 pending)
