Reply orbits (PLAN6 E2): gap = X's value after the second-best distinct reply orbit minus after the best; range = worst reply orbit minus best. A first move is 'flat' when gap <= 0.03.

v2b@1024: gap <= 0.03 in 13 / 15 first moves; range median 0.087, min 0.011, max 0.157
  first  orbits  best reply (X value)   second   gap     range
  [ 4]    6     40 (+0.197)            36   +0.023  0.103
  [ 5]    9     45 (+0.185)            50   +0.020  0.150
  [ 8]    6     73 (+0.186)            80   +0.009  0.083
  [ 9]    9      5 (+0.032)             7   +0.018  0.114
  [10]    5     16 (+0.190)            12   +0.012  0.150
  [12]    9     30 (+0.116)            28   +0.002  0.149
  [13]    6     40 (-0.020)            42   +0.078  0.172
  [15]    9     55 (+0.082)            60   +0.008  0.125
  [16]    6     66 (+0.092)            70   +0.004  0.192
  [36]    6      4 (+0.328)             5   +0.003  0.063
  [37]    6     10 (+0.262)            12   +0.007  0.066
  [40]    2     37 (+0.443)            36   +0.016  0.016

deep10_c1_300@4096: gap <= 0.03 in 14 / 15 first moves; range median 0.103, min 0.017, max 0.190
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      2 (+0.279)             1   +0.005  0.091
  [ 1]    9     10 (+0.127)            14   +0.001  0.118
  [ 2]    9     21 (+0.177)            20   +0.003  0.065
  [ 4]    6     40 (+0.192)            36   +0.025  0.103
  [ 5]    9     45 (+0.185)            50   +0.022  0.152
  [ 8]    6     73 (+0.192)            72   +0.014  0.087
  [ 9]    9      5 (+0.037)             7   +0.015  0.100
  [10]    5     16 (+0.184)            12   +0.019  0.164
  [12]    9     28 (+0.114)            30   +0.004  0.155
  [13]    6     40 (-0.025)            42   +0.078  0.170
  [15]    9     60 (+0.080)            55   +0.002  0.112
  [16]    6     70 (+0.097)            66   +0.001  0.190
  [36]    6      4 (+0.328)             5   +0.011  0.062
  [37]    6     10 (+0.264)            12   +0.018  0.064
  [40]    2     37 (+0.444)            36   +0.017  0.017

deep10_c1_300@16384: gap <= 0.03 in 12 / 15 first moves; range median 0.112, min 0.020, max 0.191
  first  orbits  best reply (X value)   second   gap     range
  [ 0]    5      1 (+0.277)             2   +0.007  0.093
  [ 1]    9     10 (+0.130)            14   +0.003  0.126
  [ 2]    9     21 (+0.178)            24   +0.003  0.069
  [ 4]    6     40 (+0.162)            36   +0.053  0.112
  [ 5]    9     45 (+0.195)            50   +0.013  0.149
  [ 8]    6     73 (+0.199)            80   +0.003  0.091
  [ 9]    9      5 (+0.040)             7   +0.009  0.097
  [10]    5     16 (+0.183)             9   +0.019  0.169
  [12]    9     28 (+0.113)            30   +0.011  0.165
  [13]    6     40 (-0.047)            42   +0.102  0.183
  [15]    9     55 (+0.081)            60   +0.004  0.119
  [16]    6     70 (+0.100)            66   +0.006  0.191
  [36]    6      4 (+0.330)             5   +0.018  0.066
  [37]    6     10 (+0.255)            12   +0.037  0.069
  [40]    2     37 (+0.444)            36   +0.020  0.020

